case_id,sigma_km,lambda_min_km,lambda_max_km,Tb_seed_K,Tb_anvil_K,delta_t_h,v_ref_kmh,delta_t_requested_h,delta_t_runtime_h,n_cc,n_cc_final,n_cc_initial,Amax_median_km2,Amax_p10_km2,Amax_p25_km2,Amax_p75_km2,Amax_p90_km2,Amax_p90_minus_p10_km2,Amax_max_km2,Amax_gini,IH,Amax_homogeneity,IA1,IA2,IA3,IA4,IA5,IA6,IA11,IA22,IA33,IA44,IA55,IA66,E1,E2,E3,E4,E5,E6,E11,E22,E33,E44,E55,E66,INIT_n_cc,INIT_Amax_median_km2,INIT_Amax_p10_km2,INIT_Amax_p25_km2,INIT_Amax_p75_km2,INIT_Amax_p90_km2,INIT_Amax_p90_minus_p10_km2,INIT_Amax_max_km2,INIT_Amax_gini,INIT_IH,INIT_Amax_homogeneity,INIT_IA1,INIT_IA2,INIT_IA3,INIT_IA4,INIT_IA5,INIT_IA6,INIT_IA11,INIT_IA22,INIT_IA33,INIT_IA44,INIT_IA55,INIT_IA66,INIT_E1,INIT_E2,INIT_E3,INIT_E4,INIT_E5,INIT_E6,INIT_E11,INIT_E22,INIT_E33,INIT_E44,INIT_E55,INIT_E66,IA111,IA222,IA333,IA444,IA555,IA666,IE111,IE222,IE333,IE444,IE555,IE666,INIT_IA111,INIT_IA222,INIT_IA333,INIT_IA444,INIT_IA555,INIT_IA666,INIT_IE111,INIT_IE222,INIT_IE333,INIT_IE444,INIT_IE555,INIT_IE666,max_convex_hull_area_km2,convex_hull_lambda_fraction,n_final_clusters,final_n_cc,n_initial_clusters,final_Amax_p10_km2,final_Amax_p25_km2,final_Amax_p75_km2,final_Amax_p90_km2,final_Amax_p90_minus_p10_km2,final_Amax_max_km2,final_Amax_gini,initial_n_cc,initial_Amax_median_km2,initial_Amax_p10_km2,initial_Amax_p25_km2,initial_Amax_p75_km2,initial_Amax_p90_km2,initial_Amax_p90_minus_p10_km2,initial_Amax_max_km2,initial_Amax_gini,initial_IH,initial_Amax_homogeneity,IE1,INIT_IE1,IE2,INIT_IE2,IE3,INIT_IE3,IE4,INIT_IE4,IE5,INIT_IE5,IE6,INIT_IE6,IE11,INIT_IE11,IE22,INIT_IE22,IE33,INIT_IE33,IE44,INIT_IE44,IE55,INIT_IE55,IE66,INIT_IE66,final_IH,final_Amax_homogeneity,fraction_after_initialization,IH25_75,Amax_homogeneity_25_75,final_IH25_75,final_Amax_homogeneity_25_75,INIT_IH25_75,INIT_Amax_homogeneity_25_75,initial_IH25_75,initial_Amax_homogeneity_25_75
C1,20.0,100.0,1500.0,220.0,235.0,1e-06,15.0,0.0,1e-06,45,45,10,7416.42529296875,1159.6046386718751,2314.8486328125,69022.7265625,207694.84375000003,206535.23911132812,890801.625,0.7911295696771161,0.9944167865810493,0.9944167865810493,0.106282100093175,0.0464774039612229,0.0321488449747786,0.0028746242446466,0.0098136208382708,0.0,2.553181628797806,0.5661283927485586,0.8675825837868671,0.00466661412177,0.1316811485045584,0.0,1.0002897351000426,0.6170939652122757,0.3175015474095338,0.1391193277702335,0.127255297496412,0.0,21.57538086128461,6.178793859586213,12.504170815735892,0.2620655180128736,1.5392377571207323,0.0,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.0841959640524534,0.0217030301710037,0.0101282711645774,0.0016717277652148,0.0051545881665257,0.0,1.0001481599948423,0.2642606481126152,0.1321413339830179,0.127526313334842,0.0729617535012714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4636159.571973719,0.6558824114154872,45,45,10,1159.6046386718751,2314.8486328125,69022.7265625,207694.84375000003,206535.23911132812,890801.625,0.7911295696771161,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,1.0002897351000426,0.7752998130623042,0.6170939652122757,0.4367527693229927,0.3175015474095338,0.0313014192626668,0.1391193277702335,0.0955334360931725,0.127255297496412,0.0810858774410698,0.0,0.0,21.57538086128461,4.059518178169592,6.178793859586213,2.301043468923078,12.504170815735892,0.1814777873162832,0.2620655180128736,0.4942542518061184,1.5392377571207323,0.4231219703108296,0.0,0.0,0.9944167865810493,0.9944167865810493,0.7777777777777778,0.9664625153467907,0.9664625153467907,0.9664625153467907,0.9664625153467907,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C1,20.0,100.0,1500.0,220.0,235.0,1.0,15.0,1.0,1.0,42,42,10,13851.330078125,1270.2714111328128,2724.571533203125,69194.939453125,213389.1484375,212118.87702636715,890801.625,0.7793995067788297,0.9940471602214352,0.9940471602214352,0.106282100093175,0.0481166771935142,0.0321592780666794,0.0034276477193869,0.0105219236139885,0.0,2.553181628797806,0.5916504573785111,0.8734165082952143,0.0055717269504627,0.1436285203683177,0.0,0.9075467780602052,0.4136253079043911,0.3231757642836547,0.0028238332168565,0.0990216598975483,0.0,21.57538086128461,6.733144933974926,12.833842777838854,0.0071123675587836,1.6527792153861134,0.0,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.0841959640524534,0.0218811083398599,0.0102303235099847,0.0019936285347658,0.0056237636122698,0.0,0.7114887444455171,0.1983045472617557,0.1361279798041575,0.0007435464194584,0.0502986102012217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4636159.571973715,0.6558824114154866,42,42,10,1270.2714111328128,2724.571533203125,69194.939453125,213389.1484375,212118.87702636715,890801.625,0.7793995067788297,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.9075467780602052,0.7752998130623042,0.4136253079043911,0.4367527693229927,0.3231757642836547,0.0313014192626668,0.0028238332168565,0.0955334360931725,0.0990216598975483,0.0810858774410698,0.0,0.0,21.57538086128461,4.059518178169592,6.733144933974926,2.301043468923078,12.833842777838854,0.1814777873162832,0.0071123675587836,0.4942542518061184,1.6527792153861134,0.4231219703108296,0.0,0.0,0.9940471602214352,0.9940471602214352,0.7619047619047619,0.9606246995121827,0.9606246995121827,0.9606246995121827,0.9606246995121827,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C1,20.0,100.0,1500.0,220.0,235.0,2.0,15.0,2.0,2.0,40,40,10,10447.856201171877,1107.89931640625,2582.49169921875,79113.177734375,219113.64375000008,218005.74443359385,886386.4375,0.7778284874362306,0.9949437228214308,0.9949437228214308,0.106282100093175,0.0505632798573973,0.0326025026662922,0.0052236183940671,0.0116106457593948,0.0,2.6373884436361714,0.5935650566124587,0.9147704895904702,0.0074391068719643,0.1557809009353957,0.0,1.0004802699894706,0.6166689625497657,0.3195099415671128,0.1033743643119557,0.1203831485281312,0.0,22.62483648582252,5.921727567567602,13.102413751193488,0.2932410145324953,1.7896924006051176,0.0,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.0801165876761199,0.0249086441935639,0.0105526284946725,0.0026506423031982,0.0059896956191223,0.0,1.0005262281600222,0.2438889615229805,0.1372547747176434,0.1016391694425989,0.0739012931326597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4562986.715728857,0.6455305698408006,40,40,10,1107.89931640625,2582.49169921875,79113.177734375,219113.64375000008,218005.74443359385,886386.4375,0.7778284874362306,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,1.0004802699894706,0.7752998130623042,0.6166689625497657,0.4367527693229927,0.3195099415671128,0.0313014192626668,0.1033743643119557,0.0955334360931725,0.1203831485281312,0.0810858774410698,0.0,0.0,22.62483648582252,4.059518178169592,5.921727567567602,2.301043468923078,13.102413751193488,0.1814777873162832,0.2932410145324953,0.4942542518061184,1.7896924006051176,0.4231219703108296,0.0,0.0,0.9949437228214308,0.9949437228214308,0.75,0.9673569969861463,0.9673569969861463,0.9673569969861463,0.9673569969861463,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C1,20.0,100.0,1500.0,220.0,235.0,3.0,15.0,3.0,3.0,40,40,10,10447.856201171877,1022.7736755371094,2582.49169921875,79070.27734375,219113.64375000008,218090.87007446296,881326.25,0.7783242965010405,0.995332222777035,0.995332222777035,0.106282100093175,0.0505632798573973,0.0327494992101734,0.0053515386238681,0.0115279320575819,0.0,2.6540281723689585,0.5991595402085366,0.9327888444008124,0.0076194540539553,0.1567624384006096,0.0,1.0004802699894706,0.9121624068083712,0.3230123974770356,0.215458233899614,0.1626778640136442,0.0,22.92706566915657,5.794756860559668,13.269517060213172,0.5798503283043961,1.899045486544106,0.0,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.0794300860034839,0.0245414327677723,0.0106651480123696,0.0027156127500978,0.0059683120560483,0.0,1.0008331232592924,0.7018821869501877,0.1379962679948902,0.2110243746829636,0.1097548992244424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4562986.715728857,0.6455305698408006,40,40,10,1022.7736755371094,2582.49169921875,79070.27734375,219113.64375000008,218090.87007446296,881326.25,0.7783242965010405,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,1.0004802699894706,0.7752998130623042,0.9121624068083712,0.4367527693229927,0.3230123974770356,0.0313014192626668,0.215458233899614,0.0955334360931725,0.1626778640136442,0.0810858774410698,0.0,0.0,22.92706566915657,4.059518178169592,5.794756860559668,2.301043468923078,13.269517060213172,0.1814777873162832,0.5798503283043961,0.4942542518061184,1.899045486544106,0.4231219703108296,0.0,0.0,0.995332222777035,0.995332222777035,0.75,0.9673392861897824,0.9673392861897824,0.9673392861897824,0.9673392861897824,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C1,20.0,100.0,1500.0,220.0,235.0,4.0,15.0,4.0,4.0,38,38,10,14095.90869140625,1672.8902954101563,3066.626037597656,98706.14453125,228100.3687500002,226427.47845459005,866963.5,0.7666934582634349,0.9926659903945896,0.9926659903945896,0.106282100093175,0.0557236244808958,0.0334697688147981,0.0056046607281335,0.013408018917814,0.0,2.6289443168386555,1.0292328504479058,1.006403364424661,0.0088967412429985,0.1795737547868686,0.0,0.9075467780602052,0.6147318146536944,0.3277964042827825,0.0195926217836263,0.1315026423554608,0.0,22.07847315660022,12.29447181381498,14.32323947829015,0.0678264818050875,2.122415000660095,0.0,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.081756599876211,0.0290395432441719,0.0113882881627789,0.0030515867310706,0.0065644573014472,0.0,0.6762397265988622,0.3070013423211399,0.1480129057649267,0.0116112041940123,0.0747321090932217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4562986.715728857,0.6455305698408006,38,38,10,1672.8902954101563,3066.626037597656,98706.14453125,228100.3687500002,226427.47845459005,866963.5,0.7666934582634349,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.9075467780602052,0.7752998130623042,0.6147318146536944,0.4367527693229927,0.3277964042827825,0.0313014192626668,0.0195926217836263,0.0955334360931725,0.1315026423554608,0.0810858774410698,0.0,0.0,22.07847315660022,4.059518178169592,12.29447181381498,2.301043468923078,14.32323947829015,0.1814777873162832,0.0678264818050875,0.4942542518061184,2.122415000660095,0.4231219703108296,0.0,0.0,0.9926659903945896,0.9926659903945896,0.736842105263158,0.9689317615214241,0.9689317615214241,0.9689317615214241,0.9689317615214241,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C1,20.0,100.0,1500.0,220.0,235.0,5.0,15.0,5.0,5.0,41,41,10,7416.42529296875,1015.237548828125,2372.1171875,69252.34375,214620.28125,213605.04370117188,856060.8125,0.7818222056797209,0.9952696103885657,0.9952696103885657,0.106282100093175,0.0502630876245834,0.0340407230016317,0.004892179803896,0.0128459326515253,0.0,2.832771549809602,0.7578279712241868,1.0534720352142872,0.0068892217118296,0.1682757975067903,0.0,1.0004802699894706,0.999968354430406,0.333279749328299,0.4018953894994295,0.1956505164576011,0.003094510400811,25.038345846989422,7.233282332517894,14.798726511288542,0.8548272536100273,2.1388661481895306,0.003094510400811,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.076428087235036,0.0221541364171833,0.0116294420551061,0.0023824433924308,0.0060214974659671,0.0,1.0005262281600222,1.000158822689427,0.1504656139059051,0.3968422910722903,0.1400313557691314,0.0002510419470641,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4562986.715728857,0.6455305698408006,41,41,10,1015.237548828125,2372.1171875,69252.34375,214620.28125,213605.04370117188,856060.8125,0.7818222056797209,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,1.0004802699894706,0.7752998130623042,0.999968354430406,0.4367527693229927,0.333279749328299,0.0313014192626668,0.4018953894994295,0.0955334360931725,0.1956505164576011,0.0810858774410698,0.003094510400811,0.0,25.038345846989422,4.059518178169592,7.233282332517894,2.301043468923078,14.798726511288542,0.1814777873162832,0.8548272536100273,0.4942542518061184,2.1388661481895306,0.4231219703108296,0.003094510400811,0.0,0.9952696103885657,0.9952696103885657,0.7560975609756098,0.9657467594733933,0.9657467594733933,0.9657467594733933,0.9657467594733933,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C1,20.0,100.0,1500.0,220.0,235.0,6.0,15.0,6.0,6.0,36,36,10,16085.05615234375,1066.71630859375,2281.3406982421875,114303.765625,237087.09375,236020.37744140625,856060.8125,0.7586686619507532,0.9955007407121091,0.9955007407121091,0.1274509803921568,0.0573567863778617,0.034027533017755,0.0095434912956419,0.0130909296965035,0.0,2.828098506631389,0.9271398786900032,1.0545649073812091,0.0123515894870134,0.1878063202451504,0.0,1.0004802699894706,0.9306521721527556,0.3351312758179933,0.3284338984981004,0.1873899715869559,0.0174897447383538,25.42360690069569,11.051680779578389,14.82859135300073,0.5808416323353697,2.305621218437795,0.0460909114979846,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752998130623042,0.4367527693229927,0.0313014192626668,0.0955334360931725,0.0810858774410698,0.0,4.059518178169592,2.301043468923078,0.1814777873162832,0.4942542518061184,0.4231219703108296,0.0,0.0747721219635395,0.0331788364185985,0.0115610625288159,0.0051480200178671,0.0065287906465218,0.0,1.0005262281600222,0.7210738085004531,0.1504997706541129,0.3192772373683593,0.1263415486590925,0.0036675282993915,0.0,0.0,0.0,0.0,0.0,0.0,0.2095955194046286,0.1160342451432391,0.0057482047553659,0.0254788597436395,0.0212220687580486,0.0,4368849.384467196,0.618065755699501,36,36,10,1066.71630859375,2281.3406982421875,114303.765625,237087.09375,236020.37744140625,856060.8125,0.7586686619507532,10,89507.788905268,62575.21045921543,68893.29493967906,105350.76306742242,401953.974552387,339378.7640931716,438406.6663840309,0.4107994426094137,0.8443224487855887,0.8443224487855887,1.0004802699894706,0.7752998130623042,0.9306521721527556,0.4367527693229927,0.3351312758179933,0.0313014192626668,0.3284338984981004,0.0955334360931725,0.1873899715869559,0.0810858774410698,0.0174897447383538,0.0,25.42360690069569,4.059518178169592,11.051680779578389,2.301043468923078,14.82859135300073,0.1814777873162832,0.5808416323353697,0.4942542518061184,2.305621218437795,0.4231219703108296,0.0460909114979846,0.0,0.9955007407121091,0.9955007407121091,0.7222222222222222,0.9800414213322888,0.9800414213322888,0.9800414213322888,0.9800414213322888,0.3460579407897719,0.3460579407897719,0.3460579407897719,0.3460579407897719
C10,20.0,100.0,1500.0,220.0,235.0,1e-06,15.0,0.0,1e-06,6,6,3,181203.30078125,23205.21759033203,60083.8564453125,381865.50390625,515136.59375,491931.376159668,607474.4375,0.500405377075301,0.9549532728370027,0.9549532728370027,0.0134479154533127,0.0125759553691074,0.0103580193477336,9.922529983638904e-06,0.0054856958647825,0.0047530923094456,0.0781627678728031,0.075964195263277,0.0657283545169127,5.566864070673285e-05,0.0330668115255239,0.0254348119228208,0.2168974787284935,0.2079096931482877,0.1689225165653314,0.0013703060182765,0.1232741072202252,0.1511106359300669,1.8170898033297196,1.670902052409683,1.3140190601143786,0.0044133761140224,0.7261859356332057,0.5699854238427344,3,81355.59948606696,67276.03546648212,72555.87197382643,196747.3230788291,265982.3572344864,198706.32176800427,312139.04667159123,0.3621395629498729,0.7470657972732662,0.7470657972732662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029544824262718,0.0028286882696109,0.0023065166837691,2.5778366025877504e-06,0.0012928457966255,0.0011756432769264,0.0557439555106614,0.0554733566197766,0.045246166991631,0.0004555295890492,0.0336424737975761,0.0418131787454003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017267.764641821,0.5683271310813108,6,6,3,23205.21759033203,60083.8564453125,381865.50390625,515136.59375,491931.376159668,607474.4375,0.500405377075301,3,81355.59948606696,67276.03546648212,72555.87197382643,196747.3230788291,265982.3572344864,198706.32176800427,312139.04667159123,0.3621395629498729,0.7470657972732662,0.7470657972732662,0.2168974787284935,0.0,0.2079096931482877,0.0,0.1689225165653314,0.0,0.0013703060182765,0.0,0.1232741072202252,0.0,0.1511106359300669,0.0,1.8170898033297196,0.0,1.670902052409683,0.0,1.3140190601143786,0.0,0.0044133761140224,0.0,0.7261859356332057,0.0,0.5699854238427344,0.0,0.9549532728370027,0.9549532728370027,0.5,0.8426570197341957,0.8426570197341957,0.8426570197341957,0.8426570197341957,0.631223079234699,0.631223079234699,0.631223079234699,0.631223079234699
C10,20.0,100.0,1500.0,220.0,235.0,1.0,15.0,1.0,1.0,6,6,3,181203.30078125,23205.21759033203,60083.8564453125,381865.50390625,515136.59375,491931.376159668,607474.4375,0.500405377075301,0.9549532728370027,0.9549532728370027,0.0134479154533127,0.0125759553691074,0.0103580193477336,9.922529983638904e-06,0.0054856958647825,0.0047530923094456,0.0781627678728031,0.075964195263277,0.0657283545169127,5.566864070673285e-05,0.0330668115255239,0.0254348119228208,0.2168974787284935,0.2079096931482877,0.1689225165653314,0.0013703060182765,0.1232741072202252,0.1511106359300669,1.8170898033297196,1.670902052409683,1.3140190601143786,0.0044133761140224,0.7261859356332057,0.5699854238427344,3,81355.59948606696,67276.03546648212,72555.87197382643,196747.3230788291,265982.3572344864,198706.32176800427,312139.04667159123,0.3621395629498729,0.7470657972732662,0.7470657972732662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029544824262718,0.0028286882696109,0.0023065166837691,2.5778366025877504e-06,0.0012928457966255,0.0011756432769264,0.0557439555106614,0.0554733566197766,0.045246166991631,0.0004555295890492,0.0336424737975761,0.0418131787454003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017267.764641821,0.5683271310813108,6,6,3,23205.21759033203,60083.8564453125,381865.50390625,515136.59375,491931.376159668,607474.4375,0.500405377075301,3,81355.59948606696,67276.03546648212,72555.87197382643,196747.3230788291,265982.3572344864,198706.32176800427,312139.04667159123,0.3621395629498729,0.7470657972732662,0.7470657972732662,0.2168974787284935,0.0,0.2079096931482877,0.0,0.1689225165653314,0.0,0.0013703060182765,0.0,0.1232741072202252,0.0,0.1511106359300669,0.0,1.8170898033297196,0.0,1.670902052409683,0.0,1.3140190601143786,0.0,0.0044133761140224,0.0,0.7261859356332057,0.0,0.5699854238427344,0.0,0.9549532728370027,0.9549532728370027,0.5,0.8426570197341957,0.8426570197341957,0.8426570197341957,0.8426570197341957,0.631223079234699,0.631223079234699,0.631223079234699,0.631223079234699
C10,20.0,100.0,1500.0,220.0,235.0,2.0,15.0,2.0,2.0,5,5,3,259065.765625,68735.25234375,103340.8359375,422798.75,533604.1625,464868.91015625,607474.4375,0.401316071262486,0.8711868137952353,0.8711868137952353,0.0134479154533127,0.0127503473859484,0.0103584999927025,0.0010562539307243,0.006582835037739,0.0095061846188912,0.0781627678728031,0.0764039097851823,0.0657327874642012,0.0059258692431205,0.0396801738306287,0.0508696238456417,0.2168974787284935,0.2097072502643288,0.1689291529070535,0.145869947935345,0.1479289286642702,0.1585072647066686,1.8170898033297196,1.70013960259369,1.3140779498067878,0.4698062772195486,0.8714231227598468,0.690065047586445,3,81355.59948606696,67276.03546648212,72555.87197382643,196747.3230788291,265982.3572344864,198706.32176800427,312139.04667159123,0.3621395629498729,0.7470657972732662,0.7470657972732662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029544824262718,0.0028537203847244,0.0023065166837691,0.0002744036357972,0.0015513476989797,0.0023515838500921,0.0557439555106614,0.0555288586774704,0.045246166991631,0.0484913427614048,0.0403700997087373,0.043536467453342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017267.764641821,0.5683271310813108,5,5,3,68735.25234375,103340.8359375,422798.75,533604.1625,464868.91015625,607474.4375,0.401316071262486,3,81355.59948606696,67276.03546648212,72555.87197382643,196747.3230788291,265982.3572344864,198706.32176800427,312139.04667159123,0.3621395629498729,0.7470657972732662,0.7470657972732662,0.2168974787284935,0.0,0.2097072502643288,0.0,0.1689291529070535,0.0,0.145869947935345,0.0,0.1479289286642702,0.0,0.1585072647066686,0.0,1.8170898033297196,0.0,1.70013960259369,0.0,1.3140779498067878,0.0,0.4698062772195486,0.0,0.8714231227598468,0.0,0.690065047586445,0.0,0.8711868137952353,0.8711868137952353,0.4,0.7555791356112098,0.7555791356112098,0.7555791356112098,0.7555791356112098,0.631223079234699,0.631223079234699,0.631223079234699,0.631223079234699
