case_id,sigma_km,lambda_min_km,lambda_max_km,Tb_seed_K,Tb_anvil_K,delta_t_h,v_ref_kmh,n_cc,n_cc_final,n_cc_initial,Amax_median_km2,Amax_p10_km2,Amax_p25_km2,Amax_p75_km2,Amax_p90_km2,Amax_p90_minus_p10_km2,Amax_max_km2,Amax_gini,IH,Amax_homogeneity,IA1,IA2,IA3,IA4,IA5,IA6,IA11,IA22,IA33,IA44,IA55,IA66,E1,E2,E3,E4,E5,E6,E11,E22,E33,E44,E55,E66,INIT_n_cc,INIT_Amax_median_km2,INIT_Amax_p10_km2,INIT_Amax_p25_km2,INIT_Amax_p75_km2,INIT_Amax_p90_km2,INIT_Amax_p90_minus_p10_km2,INIT_Amax_max_km2,INIT_Amax_gini,INIT_IH,INIT_Amax_homogeneity,INIT_IA1,INIT_IA2,INIT_IA3,INIT_IA4,INIT_IA5,INIT_IA6,INIT_IA11,INIT_IA22,INIT_IA33,INIT_IA44,INIT_IA55,INIT_IA66,INIT_E1,INIT_E2,INIT_E3,INIT_E4,INIT_E5,INIT_E6,INIT_E11,INIT_E22,INIT_E33,INIT_E44,INIT_E55,INIT_E66,IA111,IA222,IA333,IA444,IA555,IA666,IE111,IE222,IE333,IE444,IE555,IE666,INIT_IA111,INIT_IA222,INIT_IA333,INIT_IA444,INIT_IA555,INIT_IA666,INIT_IE111,INIT_IE222,INIT_IE333,INIT_IE444,INIT_IE555,INIT_IE666,max_convex_hull_area_km2,convex_hull_lambda_fraction,n_final_clusters,final_n_cc,n_initial_clusters,final_Amax_p10_km2,final_Amax_p25_km2,final_Amax_p75_km2,final_Amax_p90_km2,final_Amax_p90_minus_p10_km2,final_Amax_max_km2,final_Amax_gini,initial_n_cc,initial_Amax_median_km2,initial_Amax_p10_km2,initial_Amax_p25_km2,initial_Amax_p75_km2,initial_Amax_p90_km2,initial_Amax_p90_minus_p10_km2,initial_Amax_max_km2,initial_Amax_gini,initial_IH,initial_Amax_homogeneity,IE1,INIT_IE1,IE2,INIT_IE2,IE3,INIT_IE3,IE4,INIT_IE4,IE5,INIT_IE5,IE6,INIT_IE6,IE11,INIT_IE11,IE22,INIT_IE22,IE33,INIT_IE33,IE44,INIT_IE44,IE55,INIT_IE55,IE66,INIT_IE66,final_IH,final_Amax_homogeneity,fraction_after_initialization,IH25_75,Amax_homogeneity_25_75,final_IH25_75,final_Amax_homogeneity_25_75,INIT_IH25_75,INIT_Amax_homogeneity_25_75,initial_IH25_75,initial_Amax_homogeneity_25_75
C1,20.0,100.0,1500.0,210.0,235.0,3.0,15.0,38,38,10,17009.349609375,1599.6367797851562,3066.626037597656,239531.33203125,394804.73750000016,393205.100720215,744822.875,0.7170121502670699,0.9959482837264961,0.9959482837264961,0.1683043511048361,0.1078270583671924,0.0662072491523054,0.0060776307334756,0.0255705724510488,0.0,4.059267045067237,2.467685694009164,1.4117991801120398,0.0101248927684321,0.466202947748891,0.0,0.7564387586376683,0.5254211235877211,0.3025604465027769,0.0051152631646774,0.1471711551281544,0.0015472552004055,20.566110657310567,9.561088827880674,7.020483415480616,0.0114386650521077,2.4062740500680637,0.0015472552004055,10,71701.75704620508,49809.12624438083,54559.63034497739,112004.14353407334,200520.3733690781,150711.24712469723,263727.9654318718,0.3510443814919736,0.7516006707572698,0.7516006707572698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1425966096288945,0.0866404716522282,0.0064814495016416,0.0223967778978316,0.0160846245976308,0.0,0.3007020716158905,0.1836911267781033,0.013800958578727,0.0474276263813198,0.0341379821370032,0.0,0.1400324667744842,0.0607779569352676,0.0324831520523727,0.0035351684589905,0.0143281193584235,0.0,0.7094687723981721,0.2742061076523552,0.1601265626258399,0.0011894093517356,0.0732201228871414,0.000125520973532,0.0,0.0,0.0,0.0,0.0,0.0,0.0222333857401709,0.0132397201033237,0.0009742824150198,0.0034380355011867,0.0024480847842903,0.0,3271180.1200566813,0.46277732075640937,38,38,10,1599.6367797851562,3066.626037597656,239531.33203125,394804.73750000016,393205.100720215,744822.875,0.7170121502670699,10,71701.75704620508,49809.12624438083,54559.63034497739,112004.14353407334,200520.3733690781,150711.24712469723,263727.9654318718,0.3510443814919736,0.7516006707572698,0.7516006707572698,0.7564387586376683,0.1425966096288945,0.5254211235877211,0.0866404716522282,0.3025604465027769,0.0064814495016416,0.0051152631646774,0.0223967778978316,0.1471711551281544,0.0160846245976308,0.0015472552004055,0.0,20.566110657310567,0.3007020716158905,9.561088827880674,0.1836911267781033,7.020483415480616,0.013800958578727,0.0114386650521077,0.0474276263813198,2.4062740500680637,0.0341379821370032,0.0015472552004055,0.0,0.9959482837264961,0.9959482837264961,0.736842105263158,0.9871973907897879,0.9871973907897879,0.9871973907897879,0.9871973907897879,0.5128784648187633,0.5128784648187633,0.5128784648187633,0.5128784648187633
C1,20.0,100.0,1500.0,211.0,235.0,3.0,15.0,42,42,10,10447.856201171877,1145.8420654296876,2689.8025512695312,150176.1015625,376977.6624999999,375831.8204345703,744822.875,0.7447783156878353,0.9969604510308891,0.9969604510308891,0.1699095109169192,0.1268180469271749,0.0668757738452007,0.0038912754864462,0.0257303727528368,0.0,4.197716424041456,1.6655406162260065,1.2377400740275062,0.0064909482315998,0.3805868779066064,0.0,0.7953329176308137,0.5968926344121628,0.2795388249870997,0.055622047113351,0.1417115592179644,0.0015472552004055,22.934737071559365,8.649729793139521,6.335868589048209,0.0719062131563133,2.069412066067461,0.0015472552004055,10,79458.46191184837,41926.32716170984,58461.8642582967,120300.56985896398,217722.68140115985,175796.35423945,282202.6787448695,0.3618190816218318,0.8074324324324325,0.8074324324324325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155026592838124,0.0940193826194741,0.0066835411617294,0.025266454546746,0.0174481607412581,0.0,0.4654581441840111,0.2828747462911558,0.0201456570773979,0.0759776679230127,0.0525175404161678,0.0,0.1379346834679965,0.0550716561768121,0.0288884451363122,0.0022599079096934,0.0123908626081965,0.0,0.7536230128050269,0.3021915739058771,0.1513787478862487,0.0293582285360325,0.0704366897631418,0.000125520973532,0.0,0.0,0.0,0.0,0.0,0.0,0.0339423072610948,0.0201280242375006,0.0014020471135695,0.0054411680592474,0.0037186207803091,0.0,2869168.8299510926,0.4059043572016943,42,42,10,1145.8420654296876,2689.8025512695312,150176.1015625,376977.6624999999,375831.8204345703,744822.875,0.7447783156878353,10,79458.46191184837,41926.32716170984,58461.8642582967,120300.56985896398,217722.68140115985,175796.35423945,282202.6787448695,0.3618190816218318,0.8074324324324325,0.8074324324324325,0.7953329176308137,0.155026592838124,0.5968926344121628,0.0940193826194741,0.2795388249870997,0.0066835411617294,0.055622047113351,0.025266454546746,0.1417115592179644,0.0174481607412581,0.0015472552004055,0.0,22.934737071559365,0.4654581441840111,8.649729793139521,0.2828747462911558,6.335868589048209,0.0201456570773979,0.0719062131563133,0.0759776679230127,2.069412066067461,0.0525175404161678,0.0015472552004055,0.0,0.9969604510308891,0.9969604510308891,0.7619047619047619,0.9820890106795714,0.9820890106795714,0.9820890106795714,0.9820890106795714,0.5140350180648747,0.5140350180648747,0.5140350180648747,0.5140350180648747
C1,20.0,100.0,1500.0,212.0,235.0,3.0,15.0,41,41,12,16561.1171875,1118.195068359375,3047.117919921875,141511.328125,383649.6875,382531.4924316406,698149.0625,0.7307242655704386,0.9970853747447419,0.9970853747447419,0.2082396027953957,0.1549618818010034,0.0683138036498435,0.00413602249647,0.0299643605903116,0.0,4.314669043414215,2.694324307498706,1.291622454388603,0.0071230576565975,0.4806607611304275,0.0,0.8718581555208511,0.6241569247751094,0.2952630385389474,0.0130512100619247,0.1553328349902321,0.003094510400811,27.5220668044054,10.85874663347438,7.218142047208411,0.036273209798835,2.568130331758648,0.003094510400811,12,63285.92331882608,36252.0873954634,41510.78940105038,125029.10299750268,231134.5208486515,194882.4334531881,299263.60841240507,0.4126022046148249,0.8431558935361216,0.8431558935361216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092826652017648,0.1058340377593565,0.0089634777139686,0.0202626289732961,0.0192064097393232,0.0,0.5803862709634564,0.2980686251506511,0.0257352567626495,0.0564298573450151,0.053955644279848,0.0,0.1313548838909723,0.0788684387015203,0.0283949763348988,0.0024005864160575,0.0138388345938369,0.0,0.8378760579679518,0.3852477450303004,0.1602788613964721,0.007267615867743,0.081136212966286,0.0002510419470641,0.0,0.0,0.0,0.0,0.0,0.0,0.0415981113636515,0.0198247802221321,0.0015489015206294,0.0039646061068248,0.0036340289937117,0.0,3271180.1200566813,0.46277732075640937,41,41,12,1118.195068359375,3047.117919921875,141511.328125,383649.6875,382531.4924316406,698149.0625,0.7307242655704386,12,63285.92331882608,36252.0873954634,41510.78940105038,125029.10299750268,231134.5208486515,194882.4334531881,299263.60841240507,0.4126022046148249,0.8431558935361216,0.8431558935361216,0.8718581555208511,0.2092826652017648,0.6241569247751094,0.1058340377593565,0.2952630385389474,0.0089634777139686,0.0130512100619247,0.0202626289732961,0.1553328349902321,0.0192064097393232,0.003094510400811,0.0,27.5220668044054,0.5803862709634564,10.85874663347438,0.2980686251506511,7.218142047208411,0.0257352567626495,0.036273209798835,0.0564298573450151,2.568130331758648,0.053955644279848,0.003094510400811,0.0,0.9970853747447419,0.9970853747447419,0.7073170731707317,0.9784673215897579,0.9784673215897579,0.9784673215897579,0.9784673215897579,0.6679909844519998,0.6679909844519998,0.6679909844519998,0.6679909844519998
C1,20.0,100.0,1500.0,213.0,235.0,3.0,15.0,41,41,12,21345.3984375,1687.4818115234375,3125.150390625,188767.875,383649.6875,381962.20568847656,697618.375,0.7064272019495397,0.9956015034900206,0.9956015034900206,0.2727272727272727,0.141425824524034,0.0609976642434553,0.1369858219354321,0.0348347036679036,0.0,3.80922856561405,1.7305803714269146,1.0682126400576957,0.1714657126593423,0.4074636963207168,0.0,1.0003787878815722,0.731915142991233,0.244326429532843,0.5253228895633876,0.1838134089700699,0.0152915000402201,21.29424685537939,6.942411656648446,4.716051285602859,0.6857619098435443,2.044907284699631,0.0848102233496907,12,67317.11722683282,39679.55747648903,51999.53563562714,134911.25962743862,251009.64417803255,211330.0867015436,315827.80328558915,0.4033637014255596,0.8419201875432895,0.8419201875432895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2187469379381713,0.1104552944622233,0.0089234291749212,0.0220128600876282,0.0200499982206122,0.0,0.6461243214087541,0.3301142759983542,0.0271046706691276,0.065214742717308,0.0598070769907924,0.0,0.2618801652892562,0.1076314699276082,0.02628985245815,0.1302545897059845,0.0200950522579484,0.0,1.0006173750541725,0.4656075133008523,0.116817463756019,0.5085798264826706,0.1073044684467073,0.003330497300439,0.0,0.0,0.0,0.0,0.0,0.0,0.0458156720860375,0.021839108986996,0.0016180640505272,0.0045452805689339,0.004003132756909,0.0,3271180.1200566813,0.46277732075640937,41,41,12,1687.4818115234375,3125.150390625,188767.875,383649.6875,381962.20568847656,697618.375,0.7064272019495397,12,67317.11722683282,39679.55747648903,51999.53563562714,134911.25962743862,251009.64417803255,211330.0867015436,315827.80328558915,0.4033637014255596,0.8419201875432895,0.8419201875432895,1.0003787878815722,0.2187469379381713,0.731915142991233,0.1104552944622233,0.244326429532843,0.0089234291749212,0.5253228895633876,0.0220128600876282,0.1838134089700699,0.0200499982206122,0.0152915000402201,0.0,21.29424685537939,0.6461243214087541,6.942411656648446,0.3301142759983542,4.716051285602859,0.0271046706691276,0.6857619098435443,0.065214742717308,2.044907284699631,0.0598070769907924,0.0848102233496907,0.0,0.9956015034900206,0.9956015034900206,0.7073170731707317,0.9834444796784145,0.9834444796784145,0.9834444796784145,0.9834444796784145,0.6145648941443036,0.6145648941443036,0.6145648941443036,0.6145648941443036
C1,20.0,100.0,1500.0,214.0,235.0,3.0,15.0,41,41,14,24443.3359375,1118.195068359375,3455.661865234375,199581.0625,361164.09375,360045.8986816406,698012.25,0.6879002615115231,0.9969039140719969,0.9969039140719969,0.375,0.1820978428145217,0.067290262341556,0.3342998753664049,0.0461495764993764,0.0,3.1558066781953107,2.0858249004218288,1.2373970682078923,0.3420801436779533,0.4524606737324103,0.0,1.0023809524129257,0.690507675938716,0.2881377226768283,0.8910952545574199,0.192514112465754,0.0537195345653218,12.998478816888758,8.389714778479881,5.345705188292165,0.9272939256142962,2.0964786328927416,0.0861655405405304,14,62655.4522336876,46807.701775433634,54253.94739460721,135852.18995904684,244632.33362593484,197824.6318505012,331646.8959672459,0.3948902252236884,0.8086610176109963,0.8086610176109963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.1361649895594799,0.0286284015875162,0.3328217913673594,0.030496767587796,0.0,1.0023809524129257,0.511326649946174,0.1227155751967422,0.897705157153286,0.1207061425535237,0.0091060016423281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271180.1200566813,0.46277732075640937,41,41,14,1118.195068359375,3455.661865234375,199581.0625,361164.09375,360045.8986816406,698012.25,0.6879002615115231,14,62655.4522336876,46807.701775433634,54253.94739460721,135852.18995904684,244632.33362593484,197824.6318505012,331646.8959672459,0.3948902252236884,0.8086610176109963,0.8086610176109963,1.0023809524129257,0.0,0.690507675938716,0.0,0.2881377226768283,0.0,0.8910952545574199,0.0,0.192514112465754,0.0,0.0537195345653218,0.0,12.998478816888758,0.0,8.389714778479881,0.0,5.345705188292165,0.0,0.9272939256142962,0.0,2.0964786328927416,0.0,0.0861655405405304,0.0,0.9969039140719969,0.9969039140719969,0.6585365853658536,0.9826854220438155,0.9826854220438155,0.9826854220438155,0.9826854220438155,0.6006398762437155,0.6006398762437155,0.6006398762437155,0.6006398762437155
C1,20.0,100.0,1500.0,215.0,235.0,3.0,15.0,39,39,11,23774.212890625,1573.6244628906252,3290.4061279296875,156444.9140625,315912.1125000006,314338.48803711,698150.125,0.723676133569917,0.9950187903514126,0.9950187903514126,0.3125,0.0987855038005661,0.0638726414399424,0.2253801868555089,0.0305288042829344,0.0,4.021172336159962,2.0678009266574047,1.538571962964462,0.3508159573822231,0.3956648617262006,0.0,1.0000520833338913,0.7205644717389864,0.443096409854042,0.7207944571128995,0.19119519675308,0.0036028595849956,24.53341375229584,14.068486650032655,11.10896256532004,1.328725851134619,2.757947183495732,0.0060162824554388,11,73784.22214560192,50132.00386070933,61021.95896764695,216996.68439403072,303619.5904551801,253487.58659447083,350140.71446464176,0.4040833162890452,0.8348854769695444,0.8348854769695444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362728044874852,0.0239456215798059,0.0057255283741423,0.0014817588977653,0.0043537493781465,0.0,0.1458647838575424,0.0937169925157518,0.0216718812401504,0.0059043623544392,0.0170394531846821,0.0,0.2651515151515151,0.0595894788214072,0.0304390975864856,0.1906547847539444,0.0179754552272627,0.0,1.0006777597386045,0.4695716947271136,0.2131828511294677,0.7185372589677282,0.1079689166404254,0.0006791250489919,0.0,0.0,0.0,0.0,0.0,0.0,0.0072340804902016,0.0041630690973716,0.0008203278068346,0.0002826104842693,0.0007569216540675,0.0,3271180.1200566813,0.46277732075640937,39,39,11,1573.6244628906252,3290.4061279296875,156444.9140625,315912.1125000006,314338.48803711,698150.125,0.723676133569917,11,73784.22214560192,50132.00386070933,61021.95896764695,216996.68439403072,303619.5904551801,253487.58659447083,350140.71446464176,0.4040833162890452,0.8348854769695444,0.8348854769695444,1.0000520833338913,0.0362728044874852,0.7205644717389864,0.0239456215798059,0.443096409854042,0.0057255283741423,0.7207944571128995,0.0014817588977653,0.19119519675308,0.0043537493781465,0.0036028595849956,0.0,24.53341375229584,0.1458647838575424,14.068486650032655,0.0937169925157518,11.10896256532004,0.0216718812401504,1.328725851134619,0.0059043623544392,2.757947183495732,0.0170394531846821,0.0060162824554388,0.0,0.9950187903514126,0.9950187903514126,0.717948717948718,0.9789676376017238,0.9789676376017238,0.9789676376017238,0.9789676376017238,0.7187885191054764,0.7187885191054764,0.7187885191054764,0.7187885191054764
C1,20.0,100.0,1500.0,216.0,235.0,3.0,15.0,39,39,12,23774.212890625,1097.603564453125,3290.4061279296875,155015.5390625,313120.65625000064,312023.0526855475,698347.125,0.7239119099008003,0.9964946306078997,0.9964946306078997,0.3125,0.099311589728129,0.061241660035743,0.2187042492891043,0.0303187354080372,0.0,3.4099870105579857,2.0128579761097978,1.4428863563901493,0.3398639473065545,0.3580142746136635,0.0,1.0004802699894706,0.7376555309140378,0.4157470642260563,0.7556139677269782,0.2105357643225654,0.0152915000402201,28.38303482644907,15.690302857604369,12.228365902641864,1.452303922107483,2.845334578282174,0.0848102233496907,12,72265.3599859501,54233.88695098917,66247.2269005372,195809.03489649767,320825.7195241416,266591.8325731524,370124.7373450922,0.4013046233225462,0.8309553017400522,0.8309553017400522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717753680927744,0.0404497496078811,0.0090944414153899,0.0024538023057023,0.0072162555177513,0.0,0.2690313247447226,0.1599693868375253,0.0380076002831752,0.009337003440597,0.0283140180775754,0.0,0.2651515151515151,0.0606366577819561,0.0282025327121345,0.1845191384876036,0.0177225589052886,0.0,1.0006777597386045,0.6001761587965254,0.2263723880038861,0.7534357011185798,0.1350492012208261,0.003330497300439,0.0,0.0,0.0,0.0,0.0,0.0,0.0127018238486717,0.0067266557569915,0.0014069217630323,0.0004270302476722,0.0012116421427058,0.0,3322104.9890699126,0.46998171598286537,39,39,12,1097.603564453125,3290.4061279296875,155015.5390625,313120.65625000064,312023.0526855475,698347.125,0.7239119099008003,12,72265.3599859501,54233.88695098917,66247.2269005372,195809.03489649767,320825.7195241416,266591.8325731524,370124.7373450922,0.4013046233225462,0.8309553017400522,0.8309553017400522,1.0004802699894706,0.0717753680927744,0.7376555309140378,0.0404497496078811,0.4157470642260563,0.0090944414153899,0.7556139677269782,0.0024538023057023,0.2105357643225654,0.0072162555177513,0.0152915000402201,0.0,28.38303482644907,0.2690313247447226,15.690302857604369,0.1599693868375253,12.228365902641864,0.0380076002831752,1.452303922107483,0.009337003440597,2.845334578282174,0.0283140180775754,0.0848102233496907,0.0,0.9964946306078997,0.9964946306078997,0.6923076923076923,0.9787737013474305,0.9787737013474305,0.9787737013474305,0.9787737013474305,0.6616743096887501,0.6616743096887501,0.6616743096887501,0.6616743096887501
C1,20.0,100.0,1500.0,217.0,235.0,3.0,15.0,39,39,13,23774.212890625,1097.603564453125,3290.4061279296875,156444.9140625,308838.35625000054,307740.7526855474,698268.375,0.7220256994394121,0.9964460257534701,0.9964460257534701,0.1563922812022077,0.0890150709219858,0.0636980584785524,0.0075153870739005,0.0216190104580921,0.0,3.2315692628079717,1.754627016400149,1.3496279361261432,0.0107986903171809,0.3226247377387508,0.0,1.0004802699894706,0.7468823938345869,0.4072540946635473,0.4017509530391513,0.2078918393566427,0.0152915000402201,25.747583710314604,16.959273642069466,11.34571043678212,1.0965903265176775,2.713792328067736,0.0848102233496907,13,72848.06811009324,55141.38320990064,69485.55565602127,168584.14712915363,339831.55696340743,284690.1737535068,386306.8285303135,0.411765128940309,0.8377390737263456,0.8377390737263456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891488591846969,0.0881732353342829,0.0135297817561068,0.0137954238454767,0.0152967536323784,0.0,0.5887073158670815,0.5129907449094029,0.0914992125349621,0.0767174582708323,0.0933691647084389,0.0,0.0921294350881039,0.0417141972559182,0.0256324442082501,0.0038119260357984,0.0098102760286326,0.0,1.0005262281600222,0.5342052138250173,0.2062932432947444,0.3953732329610724,0.1287416154088289,0.003330497300439,0.0,0.0,0.0,0.0,0.0,0.0,0.0370397422331853,0.0307597710402935,0.0036250659202444,0.0054689849833185,0.0052202860940231,0.0,3322104.9890699126,0.46998171598286537,39,39,13,1097.603564453125,3290.4061279296875,156444.9140625,308838.35625000054,307740.7526855474,698268.375,0.7220256994394121,13,72848.06811009324,55141.38320990064,69485.55565602127,168584.14712915363,339831.55696340743,284690.1737535068,386306.8285303135,0.411765128940309,0.8377390737263456,0.8377390737263456,1.0004802699894706,0.0891488591846969,0.7468823938345869,0.0881732353342829,0.4072540946635473,0.0135297817561068,0.4017509530391513,0.0137954238454767,0.2078918393566427,0.0152967536323784,0.0152915000402201,0.0,25.747583710314604,0.5887073158670815,16.959273642069466,0.5129907449094029,11.34571043678212,0.0914992125349621,1.0965903265176775,0.0767174582708323,2.713792328067736,0.0933691647084389,0.0848102233496907,0.0,0.9964460257534701,0.9964460257534701,0.6666666666666667,0.9789676376017238,0.9789676376017238,0.9789676376017238,0.9789676376017238,0.5878286491387126,0.5878286491387126,0.5878286491387126,0.5878286491387126
C1,20.0,100.0,1500.0,218.0,235.0,3.0,15.0,37,37,11,17457.58203125,1077.012060546875,3125.150390625,137015.21875,263315.49375,262238.48168945307,848558.375,0.7400898068593265,0.995909803691349,0.995909803691349,0.1637677571444846,0.0810026152187264,0.0604878034516319,0.0048482838840921,0.0174699184354609,0.0,3.202552066725487,1.4793098983268116,1.6089623050680173,0.0079133613652569,0.2554250901286776,0.0,1.0001351351218604,0.6285246601102178,0.3135642327040031,0.2441998058185694,0.1503544463694594,0.003094510400811,21.87318253631693,15.946758908533177,13.426022402498743,0.6504142650255872,2.119624659631775,0.003094510400811,11,76535.36869893353,58117.97093913025,65358.83582602387,90931.12514292914,360839.617727598,302721.64678846777,401227.9775452579,0.4017260222718904,0.8389368348599566,0.8389368348599566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125720238223415,0.0585377761952643,0.0046580096857818,0.0136372702977085,0.0106432320355026,0.0,0.5833434053562263,0.3034688281352488,0.0242847265524046,0.0706687561190194,0.0551761505700452,0.0,0.1054102397061697,0.0332281082210645,0.0192580613697983,0.002817854055973,0.0083055568190299,0.0,1.00016956292829,0.4770036200857686,0.1503531597390332,0.2381499680753733,0.0932830643238948,0.0002510419470641,0.0,0.0,0.0,0.0,0.0,0.0,0.0404322773089618,0.0203626586728884,0.0009152746367399,0.0048928928688246,0.0037023015768888,0.0,4368849.384467196,0.618065755699501,37,37,11,1077.012060546875,3125.150390625,137015.21875,263315.49375,262238.48168945307,848558.375,0.7400898068593265,11,76535.36869893353,58117.97093913025,65358.83582602387,90931.12514292914,360839.617727598,302721.64678846777,401227.9775452579,0.4017260222718904,0.8389368348599566,0.8389368348599566,1.0001351351218604,0.1125720238223415,0.6285246601102178,0.0585377761952643,0.3135642327040031,0.0046580096857818,0.2441998058185694,0.0136372702977085,0.1503544463694594,0.0106432320355026,0.003094510400811,0.0,21.87318253631693,0.5833434053562263,15.946758908533177,0.3034688281352488,13.426022402498743,0.0242847265524046,0.6504142650255872,0.0706687561190194,2.119624659631775,0.0551761505700452,0.003094510400811,0.0,0.995909803691349,0.995909803691349,0.7027027027027026,0.977191217011249,0.977191217011249,0.977191217011249,0.977191217011249,0.2812270196449207,0.2812270196449207,0.2812270196449207,0.2812270196449207
C1,20.0,100.0,1500.0,219.0,235.0,3.0,15.0,37,37,11,17457.58203125,1077.012060546875,3125.150390625,137015.21875,263315.49375,262238.48168945307,848558.375,0.7416400686535928,0.995909803691349,0.995909803691349,0.1500746150010478,0.0817932636469221,0.05477138252511,0.0048493618798729,0.0164918445171263,0.0,2.852214444166029,1.3864613101422776,1.4259968665348082,0.0079230153593264,0.2334056755821321,0.0,1.0001351351218604,0.6191892182586954,0.3043049957017472,0.2442051424570715,0.1514089617858423,0.003094510400811,22.352333524994812,14.837128557365624,13.657750021338437,0.6507386766678392,2.158836570763898,0.003094510400811,11,84177.442458188,61060.16933644322,69103.45196805855,97111.6522957262,378932.22735263297,317872.0580161897,416531.23024816497,0.3974119238033062,0.8388625592417062,0.8388625592417062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555089737935283,0.0809285727747221,0.0070909293898777,0.0160438100903101,0.0147142859590403,0.0,0.7520389374048647,0.392281879618618,0.035328687498029,0.0775950242008678,0.071323978112476,0.0,0.0965760050809129,0.03243100355446,0.0168439992158668,0.0028184385310924,0.0078848539734915,0.0,1.00016956292829,0.4702783964812901,0.1507024523205856,0.2381606218466583,0.0950028899818569,0.0002510419470641,0.0,0.0,0.0,0.0,0.0,0.0,0.0409887176939114,0.0206877389206062,0.0011380303955882,0.0042235679675055,0.0037614070764738,0.0,4368849.384467196,0.618065755699501,37,37,11,1077.012060546875,3125.150390625,137015.21875,263315.49375,262238.48168945307,848558.375,0.7416400686535928,11,84177.442458188,61060.16933644322,69103.45196805855,97111.6522957262,378932.22735263297,317872.0580161897,416531.23024816497,0.3974119238033062,0.8388625592417062,0.8388625592417062,1.0001351351218604,0.1555089737935283,0.6191892182586954,0.0809285727747221,0.3043049957017472,0.0070909293898777,0.2442051424570715,0.0160438100903101,0.1514089617858423,0.0147142859590403,0.003094510400811,0.0,22.352333524994812,0.7520389374048647,14.837128557365624,0.392281879618618,13.657750021338437,0.035328687498029,0.6507386766678392,0.0775950242008678,2.158836570763898,0.071323978112476,0.003094510400811,0.0,0.995909803691349,0.995909803691349,0.7027027027027026,0.977191217011249,0.977191217011249,0.977191217011249,0.977191217011249,0.2884123549085187,0.2884123549085187,0.2884123549085187,0.2884123549085187
